time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-04-22T00:00:00.0000000Z;2021-04-23T00:00:00.0000000Z;2021-04-22T09:06:00.0000000Z;2021-04-22T23:59:00.0000000Z;1.3057883241152086E-06;0.009915345595838933;1.3057883241152086E-06;1.652455858864379E-06
2021-04-23T00:00:00.0000000Z;2021-04-24T00:00:00.0000000Z;2021-04-23T00:01:00.0000000Z;2021-04-23T23:59:00.0000000Z;1.670847595457685E-06;1.79065792607094E-06;1.1309458214461966E-06;1.2212594194420302E-06
2021-04-24T00:00:00.0000000Z;2021-04-25T00:00:00.0000000Z;2021-04-24T00:03:00.0000000Z;2021-04-24T23:59:00.0000000Z;1.2618077993532394E-06;1.7923058142158268E-06;1.1811173571016371E-06;1.4327915016925016E-06
2021-04-25T00:00:00.0000000Z;2021-04-26T00:00:00.0000000Z;2021-04-25T00:01:00.0000000Z;2021-04-25T23:59:00.0000000Z;1.3626861582502102E-06;1.6755289398695961E-06;1.0039015771585505E-06;1.3463365457384908E-06
2021-04-26T00:00:00.0000000Z;2021-04-27T00:00:00.0000000Z;2021-04-26T00:01:00.0000000Z;2021-04-26T23:59:00.0000000Z;1.351636937883317E-06;1.3934955779871725E-06;1.1590766545760392E-06;1.231274616353062E-06
2021-04-27T00:00:00.0000000Z;2021-04-28T00:00:00.0000000Z;2021-04-27T00:03:00.0000000Z;2021-04-27T23:59:00.0000000Z;1.44200942794891E-05;0.00022150339642047832;8.809340004780228E-07;1.7304134722940295E-05
2021-04-28T00:00:00.0000000Z;2021-04-29T00:00:00.0000000Z;2021-04-28T00:03:00.0000000Z;2021-04-28T23:59:00.0000000Z;1.121132191722446E-06;1.5616225133347868E-06;9.112360419880092E-07;1.4810273382739266E-06
2021-04-29T00:00:00.0000000Z;2021-04-30T00:00:00.0000000Z;2021-04-29T00:04:00.0000000Z;2021-04-29T23:59:00.0000000Z;1.492537859366154E-06;0.00012468471886005315;1.2808752833609276E-06;1.4005969248863885E-06
2021-04-30T00:00:00.0000000Z;2021-05-01T00:00:00.0000000Z;2021-04-30T00:01:00.0000000Z;2021-04-30T23:59:00.0000000Z;1.4108291830450873E-06;3.342607393687856E-06;1.3805413247355356E-06;2.373948357881944E-06
2021-05-01T00:00:00.0000000Z;2021-05-02T00:00:00.0000000Z;2021-05-01T00:01:00.0000000Z;2021-05-01T23:59:00.0000000Z;2.316906247849971E-06;2.668257072380099E-06;1.7013768428313198E-06;1.8045482002367275E-06
2021-05-02T00:00:00.0000000Z;2021-05-03T00:00:00.0000000Z;2021-05-02T00:02:00.0000000Z;2021-05-02T23:59:00.0000000Z;1.8417896249119232E-06;2.0515926900227364E-06;1.601575195734652E-06;1.6818590412788307E-06
2021-05-03T00:00:00.0000000Z;2021-05-04T00:00:00.0000000Z;2021-05-03T00:11:00.0000000Z;2021-05-03T23:59:00.0000000Z;1.744101518980989E-06;1.8308089407555472E-06;1.5415667936028983E-06;1.6205163922282967E-06
2021-05-04T00:00:00.0000000Z;2021-05-05T00:00:00.0000000Z;2021-05-04T00:01:00.0000000Z;2021-05-04T23:59:00.0000000Z;1.6200616532357444E-06;1.9345722207157764E-06;1.4623273533058625E-06;1.6805605846455941E-06
2021-05-05T00:00:00.0000000Z;2021-05-06T00:00:00.0000000Z;2021-05-05T00:05:00.0000000Z;2021-05-05T23:59:00.0000000Z;1.6710605793024395E-06;1.8327008681628764E-06;1.6208703763950034E-06;1.7019707593765664E-06
2021-05-06T00:00:00.0000000Z;2021-05-07T00:00:00.0000000Z;2021-05-06T00:01:00.0000000Z;2021-05-06T23:59:00.0000000Z;1.7146500051271452E-06;1.752647304693504E-06;1.4919094646491812E-06;1.5514144074541583E-06
2021-05-07T00:00:00.0000000Z;2021-05-08T00:00:00.0000000Z;2021-05-07T00:01:00.0000000Z;2021-05-07T23:59:00.0000000Z;1.5643505010689099E-06;3.2046018049005544E-06;1.4015212253316408E-06;2.8117235533755743E-06
2021-05-08T00:00:00.0000000Z;2021-05-09T00:00:00.0000000Z;2021-05-08T00:01:00.0000000Z;2021-05-08T23:59:00.0000000Z;2.8224849097475225E-06;2.250569799056133E-05;2.8224849097475225E-06;1.5835238457626356E-05
2021-05-09T00:00:00.0000000Z;2021-05-10T00:00:00.0000000Z;2021-05-09T00:01:00.0000000Z;2021-05-09T23:59:00.0000000Z;1.5495717429169793E-05;1.9810481653924608E-05;1.1749161748181223E-05;1.5639872917870983E-05
2021-05-10T00:00:00.0000000Z;2021-05-11T00:00:00.0000000Z;2021-05-10T00:01:00.0000000Z;2021-05-10T23:59:00.0000000Z;1.5639836192836118E-05;4.2021631846716254E-05;1.3633195495066807E-05;3.510977517288958E-05
2021-05-11T00:00:00.0000000Z;2021-05-12T00:00:00.0000000Z;2021-05-11T00:01:00.0000000Z;2021-05-11T23:59:00.0000000Z;3.525411989089381E-05;3.801755820368036E-05;2.811502739031531E-05;3.066080469402711E-05
2021-05-12T00:00:00.0000000Z;2021-05-13T00:00:00.0000000Z;2021-05-12T00:01:00.0000000Z;2021-05-12T23:59:00.0000000Z;3.0319296934093825E-05;3.151273528768584E-05;1.7467468062606002E-05;1.7467468062606002E-05
2021-05-13T00:00:00.0000000Z;2021-05-14T00:00:00.0000000Z;2021-05-13T00:01:00.0000000Z;2021-05-13T23:59:00.0000000Z;1.800406422798591E-05;2.3554378508697155E-05;1.560003498499192E-05;2.102591151913644E-05
2021-05-14T00:00:00.0000000Z;2021-05-15T00:00:00.0000000Z;2021-05-14T00:01:00.0000000Z;2021-05-14T23:59:00.0000000Z;2.065194647309736E-05;2.2218916154987977E-05;1.831329973469217E-05;1.8531645875877072E-05
